,Location,Retweet_Count,Date,Tweets
691,,0,Tue Feb 25 13:26:53 +0000 2020,@chetan_bhagat Aap chronology samjhiye 1.First govt will say there are no plans for #NRC (not explicitly say no NRC ever) 2.Then NRC will slowly disappear from people's minds 3.Then Amit Shah will announce implementation of NRC in classic Modi govt style 
697,"Tirur, India",0,Tue Feb 25 13:07:10 +0000 2020,#DelhiRiots Lets say simply Look at what's happening in delhi right now Tat's the practicalization of #NRC Now wat d #DelhiPolice and #govt r doing Tat's what is going to happen nationwide Luk at what  zeal shown by d #Court right now That's what's going to happen in the future
734,LONDON,1,Tue Feb 25 10:27:57 +0000 2020,"RT @sircaustick: @rjfahad @PMOIndia mota bhai shud put a press conference and announce #NRC,  population control bill,uniform civil codeðŸ˜ðŸ˜¹"
735,1-16-4 AtharvavedaðŸ”¥,1,Tue Feb 25 10:27:05 +0000 2020,"@rjfahad @PMOIndia mota bhai shud put a press conference and announce #NRC,  population control bill,uniform civil codeðŸ˜ðŸ˜¹"
752,Mumbai,5,Tue Feb 25 09:42:06 +0000 2020,"+ Assam Accord..MMS had promised to implement Assam Accord but later backed out.. All the parties in both the houses of parliament, during UPA rule had agreed to the need of national level #NRC and agreed to its implementation.. Now all such political par"
754,,1,Tue Feb 25 09:00:02 +0000 2020,Being a indian  and a hinduI feel unsafe in my own capital because of muslims. We need #NRC #UCC as soon as possible @AmitShah @kishanreddybjp @BJP4India  #DelhiViolence #DelhiRiots #DelhiCAAClashes #DelhiBurning #Delhi
760,"Jammu, Jammu And Kashmir",0,Tue Feb 25 08:27:14 +0000 2020,@TajinderBagga @KapilMishra_IND All indian people who accpet the #CAASupport #NRC are support you and #Modi g #Homeminster
762,"Haryana, India",0,Tue Feb 25 08:14:41 +0000 2020,"@ABPNews And I do not understand why some people are protesting by fearing a law and a bill that has not yet come,  #where #is #NRC"
763,,0,Tue Feb 25 08:09:40 +0000 2020,@KashifAhsan15 Yeah I agree wid u but tell me abt those people who r protesting against #NRC and they say...NRC ke provisions bahut darwane h....jabki avi na to NRC ka koi draft taiyar kiya gya h aur na hi avi NRC lagu kiya ja raha h....to protest kahe ka
765,,0,Tue Feb 25 08:00:00 +0000 2020,Looking at the present situation in delhi it looks like the Prime Minister and home minister should implement #nrc as soon as possible #DelhiBurning #DelhiCAAClashes
768,,0,Tue Feb 25 07:53:16 +0000 2020,Do you guys are in support to NRC and CAA ? Comment down:-) #NRC #NRC_CAA_Protest  #DelhiViolence  @narendramodi  @realDonaldTrump
786,"Mumbai, India",0,Tue Feb 25 06:06:35 +0000 2020,@ANI Too little... too late by @ArvindKejriwal @AamAadmiParty !  No point dilly-dallying @narendramodi must bulldoze ahead with #UniformCivilCode #UCC and #NRC!  @AmitShah @rsprasad @arifmohmmadk @OpIndia_com @ishkarnBHANDARI @republic @SwarajyaMag
794,India,0,Tue Feb 25 04:33:11 +0000 2020,"#DelhiBurning is the brainchild of @INCIndia @cpimspeak and it has exposed the stupidity and ignorance of @BJP4India @AamAadmiParty   No political party is a hero. No Indian citizen will burn their own country, will bring shame to the name of the country. I hope #NRC happens ASAP"
795,,0,Tue Feb 25 04:18:02 +0000 2020,@smitadeshmukh Why not #NRC to be implemented first in Delhi itself. It's a small area and with most prevalent violence by illegal immigrants. A much needed step to solve the problem of arson in delhi
